name,address,lat,lng,rating,reviews,location_name,fsq_id
Hamleys,"Block 17, Courtyard Area, Phoenix Mills (Tulsi Pipe Road, Lower Parel), Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
Seven Kitchens,"462, Senapati Bapat Marg, Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
Mainland china asia kitchen,"Palladium Mall, Mumbai, Mahārāshtra",0,0,,0,Lower Parel,
Marks and Spencer,"Phoenix Mills (Lower Parel), Mumbai, Mahārāshtra",0,0,,0,Lower Parel,
Subway,"Skyzone, High Street Phoenix, Lower Parel (Senapati Bapat Marg, Lower Parel), Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
Foodhall,"3rd Floor, Palladium Mall, Lower Parel, Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
Cream Centre,"Phoenix Mills (Lower Parel), Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
PA PA YA,"Level 3, Palladium Mall, Senapati Bapat Marg, Lower Parel, Lower Parel, Mumbai, Maharashtra 400013, Mumbai, Mahārāshtra",0,0,,0,Lower Parel,
Maroosh,"Phoenix Mills, Senapati Bapat Marg (Senapati Bapat Marg), Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
Palladium Social,"Level 3, Palladium Mall (Senapati Baat Marg), Mumbai 400012, Mahārāshtra",0,0,,0,Lower Parel,
Punjab Grill by Jiggs Kalra,"Palladium, Phoenix Mills (N.M. Joshi marg, Parel), Mumbai, Mahārāshtra",0,0,,0,Lower Parel,
H&M,"High Street Phoenix, Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
Francesco's Pizzeria,,0,0,,0,Lower Parel,
Grand Galleria,"Phoenix Mills (Senapati Bapat Marg. Lower Parel), Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
EXO Bar,"462, S B Marg, Lower Parel, (Phoenix Mills.), Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
Asilo - St. Regis,"462, Senapati Bapat Marg, Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
